Date,Value,Rate
01/01/2020,1.085,CHF
01/01/2020,0.8459,GBP
01/01/2020,121.87100000000001,JPY
01/01/2020,9.8475,NOK
01/01/2020,1.1215,USD
01/02/2019,-0.365,EONIA
01/02/2019,-0.11,EUR12M
01/02/2019,-0.369,EUR1M
01/02/2019,-0.375,EUR1W
01/02/2019,-0.308,EUR3M
01/02/2019,-0.235,EUR6M
01/03/2019,-0.368,EONIA
01/03/2019,-0.108,EUR12M
01/03/2019,-0.368,EUR1M
01/03/2019,-0.373,EUR1W
01/03/2019,-0.31,EUR3M
01/03/2019,-0.23,EUR6M
01/04/2019,-0.366,EONIA
01/04/2019,-0.112,EUR12M
01/04/2019,-0.3670000000000001,EUR1M
01/04/2019,-0.379,EUR1W
01/04/2019,-0.31,EUR3M
01/04/2019,-0.228,EUR6M
01/04/2020,1.0582,CHF
01/04/2020,-0.442,EONIA
01/04/2020,-0.168,EUR12M
01/04/2020,-0.468,EUR1M
01/04/2020,-0.516,EUR1W
01/04/2020,-0.343,EUR3M
01/04/2020,-0.276,EUR6M
01/04/2020,0.8837,GBP
01/04/2020,117.45299999999999,JPY
01/04/2020,11.4346,NOK
01/04/2020,1.0956,USD
01/05/2020,1.0549,CHF
01/05/2020,0.8788,GBP
01/05/2020,117.4,JPY
01/05/2020,11.347999999999999,NOK
01/05/2020,1.0979999999999999,USD
01/07/2019,-0.366,EONIA
01/07/2019,-0.217,EUR12M
01/07/2019,-0.392,EUR1M
01/07/2019,-0.398,EUR1W
01/07/2019,-0.34600000000000003,EUR3M
01/07/2019,-0.313,EUR6M
01/08/2019,-0.361,EONIA
01/08/2019,-0.3,EUR12M
01/08/2019,-0.393,EUR1M
01/08/2019,-0.414,EUR1W
01/08/2019,-0.377,EUR3M
01/08/2019,-0.363,EUR6M
01/10/2019,-0.464,EONIA
01/10/2019,-0.33,EUR12M
01/10/2019,-0.467,EUR1M
01/10/2019,-0.4970000000000001,EUR1W
01/10/2019,-0.428,EUR3M
01/10/2019,-0.387,EUR6M
01/11/2019,-0.464,EONIA
01/11/2019,-0.281,EUR12M
01/11/2019,-0.443,EUR1M
01/11/2019,-0.488,EUR1W
01/11/2019,-0.399,EUR3M
01/11/2019,-0.348,EUR6M
02/01/2019,-0.368,EONIA
02/01/2019,-0.121,EUR12M
02/01/2019,-0.362,EUR1M
02/01/2019,-0.3720000000000001,EUR1W
02/01/2019,-0.31,EUR3M
02/01/2019,-0.238,EUR6M
02/01/2020,1.0848,CHF
02/01/2020,-0.454,EONIA
02/01/2020,-0.248,EUR12M
02/01/2020,-0.436,EUR1M
02/01/2020,-0.491,EUR1W
02/01/2020,-0.379,EUR3M
02/01/2020,-0.32299999999999995,EUR6M
02/01/2020,0.8501,GBP
02/01/2020,121.26100000000001,JPY
02/01/2020,9.8227,NOK
02/01/2020,1.1171,USD
02/03/2020,1.0672,CHF
02/03/2020,-0.457,EONIA
02/03/2020,-0.327,EUR12M
02/03/2020,-0.488,EUR1M
02/03/2020,-0.52,EUR1W
02/03/2020,-0.434,EUR3M
02/03/2020,-0.4,EUR6M
02/03/2020,0.8733,GBP
02/03/2020,120.60799999999999,JPY
02/03/2020,10.3452,NOK
02/03/2020,1.1139,USD
02/04/2019,-0.3670000000000001,EONIA
02/04/2019,-0.112,EUR12M
02/04/2019,-0.3670000000000001,EUR1M
02/04/2019,-0.38,EUR1W
02/04/2019,-0.311,EUR3M
02/04/2019,-0.23,EUR6M
02/04/2020,1.0573,CHF
02/04/2020,-0.449,EONIA
02/04/2020,-0.153,EUR12M
02/04/2020,-0.454,EUR1M
02/04/2020,-0.495,EUR1W
02/04/2020,-0.336,EUR3M
02/04/2020,-0.268,EUR6M
02/04/2020,0.8754,GBP
02/04/2020,117.311,JPY
02/04/2020,11.2646,NOK
02/04/2020,1.085,USD
02/05/2019,-0.362,EONIA
02/05/2019,-0.114,EUR12M
02/05/2019,-0.366,EUR1M
02/05/2019,-0.377,EUR1W
02/05/2019,-0.309,EUR3M
02/05/2019,-0.232,EUR6M
02/07/2019,-0.3670000000000001,EONIA
02/07/2019,-0.233,EUR12M
02/07/2019,-0.386,EUR1M
02/07/2019,-0.397,EUR1W
02/07/2019,-0.35100000000000003,EUR3M
02/07/2019,-0.327,EUR6M
02/08/2019,-0.35700000000000004,EONIA
02/08/2019,-0.304,EUR12M
